"Timestamp","Please enter the most recent search you performed on DataSearch","Did you find any interesting scholarly data? If not, why?","How successful was this search overall?","How relevant to your query did the search results appear to be?","I think that I would like to use DataSearch frequently","I found DataSearch unnecessarily complex","I thought DataSearch was easy to use","I think that I would need technical support to be able to use DataSearch","I thought the features in DataSearch were well integrated","I thought there was too much inconsistency in DataSearch","I would imagine that most people would learn to use DataSearch quickly","I found DataSearch inefficient to use","I felt confident about using DataSearch","I needed to learn a lot of things before I could get going with DataSearch","How important is a discovery service for scholarly data?","Do you have any other feedback you’d like to share with us? Suggestions for improvement, errors you found, or things that worked well?","How likely is it that you would recommend DataSearch to a friend or a colleague?"
"2017/06/02 2:45:42 pm GMT","Induced phase transformation in Ti6Al4V","I did find very few interesting data, because to much no interesting data pop-up. When using the provided filtering options, it ends up providing almost nothing interesting as compared to the search done using a direct source of data such as ScienceDirect or Mendeley.   ","2","4","2","1","3","5","5","3","3","2","3","5","4","The DataSearch Beta2 may allow researchers to access any kind of data file and use other data sources than Science Direct and Mendeley. I would like to try it. 
Truthfully speaking, one hour is not enough for more experienced researcher to evaluate a new DataSearch.","6"
"2017/06/05 7:31:46 am GMT","education in asia","No. For my purposes, the dataset would be more interesting. What the results generated were merely summary tables from the journal articles.","1","2","1","1","5","1","3","4","5","1","1","1","5","To start with, the search feature on the home page was not working. I had to click on a sample search link before I could run my own search.","2"
"2017/06/05 10:35:08 am GMT","Big data and Libraries","very few","2","2","2","1","4","1","4","2","4","3","4","2","5","I was expecting to see the raw datasets too included in the results. Is this possible?","5"
"2017/06/07 3:40:12 am GMT","Validated FFQ 2000 - 2017","yes","4","5","4","3","4","2","3","3","3","2","3","2","5","My search, validated FFQ, returned several thousand items. a brief look turned up none with my search words in it.
When switched to ""validated FFQ"", 28 returns were either interesting or useful. However  NONE had the actual quoted phrase. they all contained simply the word ""validation"", a few had FFQ somewhere in the text. This makes the search a bit flaky I would say.
Also, a few sentences of instruction or explanation (especially of that mystic list of acronyms on the left side of the starting page) would be helpful.
The system does look very promising though.it was fast.
john","9"
"2017/06/08 7:38:25 pm GMT","""stereotypy"" ""intervention"" ""adhd"" ""autism""","Yes","4","3","3","1","5","2","5","2","4","2","4","3","5","Would it be possible to add the language from each document that explains the tables and charts? Its hard to make sense of the visual representation of the data without access to language that explains it.","8"
"2017/06/09 6:42:31 am GMT","Incidence of hsct by country ","Possibly. Too many results and no way narrow it down ","2","3","3","2","3","4","3","3","2","4","2","4","5","Can one use boolean operators ","5"
"2017/06/09 8:38:14 am GMT","Google Fusion Tables","Partially, some results didn't fit completely the research, but it's a common issue with those search terms.","4","3","3","3","3","3","3","2","3","2","3","2","4","I liked the way the results are displayed, and the consistency of results, namely, the type od data reported to be into an article are effectively contained therein.
One improvement could be the possibility to search for all the terms into a query. In my case, for example, I would like to receive only the results from all the terms contained into my query (""Google fusion tables"") and not results deriving from ""Google fusion tables"", ""fusion"", ""tables"", and so on.","7"
"2017/06/09 8:39:29 am GMT","""BWW model""","Yes, however, I could not filter by date - fields [From] and [To] are uneditable.","4","4","4","2","4","1","2","3","5","2","4","1","5","Previews of videos are not available. It is not understandable what [non-matching] means. Date fields could be just a pickup of years to filter data by year. CC licence would be helpful, because now I can copy everything, even software code, and I don't know if it legal. Tabular data not always shows correctly. Some title are unreadable, e.g., [Th\'eor\`emes d'\'equidistribution pour les syst\`emes dynamiques d'origine arithm\'etique]","9"
"2017/06/09 8:45:50 am GMT","Nitro benzene reduction electrochemical","Yes","3","3","2","2","4","1","2","3","5","2","5","1","5","I really liked the option to view images. It enabled me to decide quickly if the article would be useful or not. However there is still room for improvement when it comes showing up data that is relevant or closely related to the search word. It is easy to use. Any one familiar with another searching index will be able to adapt easily. ","7"
"2017/06/09 9:56:58 am GMT","""dynamic energy budgets""","Yes, but very few raw data","2","5","3","1","5","1","3","2","4","4","5","1","5","There is no way of distinguishing original data (either tabular, graphic, spatial or media) from synthetic tables or diagrams extracted from research articles.","5"
"2017/06/10 9:08:22 pm GMT","ICT adoption, diffusion, acceptance, Electronic commerce","Yes","4","4","5","5","5","4","5","3","5","1","5","5","5","","10"
"2017/06/12 1:45:32 am GMT","bismuth oxyhalide","Yes","4","4","4","2","4","4","4","2","4","2","4","2","5","The detail can change to Abstract. And if there has one bottom that can re-order by date, relevant search, citation that will be more better.","8"
"2017/06/13 5:41:52 am GMT","Learning to Rank","No, because at first sight I could not tell if scholarly data was ""interesting"" or not.","4","3","4","2","4","1","4","2","4","1","5","3","5","Link to a Data Science notebook where users can play around with data and programs. Link users to expert data science programmers with a ""chat""-like feature similar to that found on commercial websites, only that in DataSearch it would link users to a data science programmer that can help them with their queries and/or data exploration.","9"
"2017/06/13 10:19:32 am GMT","UWES, OLBI, Burnout","Yes, some tables were interesting.","4","3","4","1","5","1","4","1","5","1","5","1","4","As a psychometrician, the co-variance matrix of the psychometric instruments is pretty important. The statistical software code should be provided when the authors authorize, for example, the R code...","9"
"2017/06/14 9:15:57 am GMT","Resilience framework","Yes","5","5","4","2","4","1","3","2","4","2","4","1","5","Supplementary material tab of Neri et al. (2016) A pressure–state–response approach to cumulative impact assessment was full of jumbled characters.","8"
"2017/06/14 3:11:08 pm GMT","asthma women cleaning","Yes","4","3","3","2","4","2","4","3","4","3","4","2","4","","7"
